ENERO 22,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,GALICIA,GALICIA,GALICIA,GALICIA,GALICIA,GALICIA,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,CANARIAS,CANARIAS,CANARIAS,CANARIAS,CANARIAS,CANARIAS
,CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros)
.TOTAL ALIMENTACION,"48,70","126,97","100,00","2,61","5.894.707,73","2.260.917,72","53,22","147,49","100,00","2,77","1.040.153,70","375.352,58","49,87","137,17","100,00","2,75","177.781,00","64.636,93","53,50","129,39","100,00","2,42","139.738,59","57.782,75","48,56","124,16","100,00","2,56","628.553,32","245.863,00","55,11","129,89","100,00","2,36","178.787,02","75.853,60","45,13","109,09","100,00","2,42","955.953,62","395.460,37","44,83","126,84","100,00","2,83","817.869,59","289.072,86","47,80","113,25","100,00","2,37","239.935,06","101.266,27","42,91","96,55","100,00","2,25","112.019,42","49.789,49","51,37","134,95","100,00","2,63","327.073,81","124.493,97","48,45","131,29","100,00","2,71","358.989,20","132.491,38","51,65","136,12","100,00","2,64","147.069,15","55.806,16","46,49","121,53","100,00","2,61","66.934,91","25.602,60","50,76","154,77","100,00","3,05","330.548,41","108.409,52","43,52","122,48","100,00","2,81","39.084,69","13.886,61","52,37","147,90","100,00","2,82","83.852,55","29.691,12","51,53","111,74","100,00","2,17","250.363,94","115.458,47"
T.HUEVOS KGS,"0,67","1,71","78,13","2,55","79.487,84","31.212,11","0,67","1,85","82,58","2,75","13.075,15","4.750,54","0,74","1,72","82,90","2,33","2.235,27","957,57","0,52","1,35","71,24","2,61","1.460,30","558,91","0,70","1,75","80,89","2,49","8.843,41","3.557,23","0,63","1,51","79,01","2,41","2.074,40","861,74","0,63","1,55","79,87","2,47","13.608,26","5.514,39","0,68","1,62","82,78","2,39","10.434,31","4.371,58","0,63","1,49","73,42","2,38","3.160,79","1.328,14","0,48","1,12","64,77","2,32","1.302,88","560,93","0,69","1,57","71,33","2,29","3.802,75","1.663,97","0,60","1,78","61,23","2,97","4.858,75","1.633,66","0,70","1,94","73,65","2,78","2.100,45","754,20","0,93","2,45","81,22","2,64","1.351,44","511,69","0,93","2,41","81,15","2,59","5.138,62","1.981,58","0,74","1,93","85,99","2,61","616,19","235,78","0,92","2,29","77,64","2,49","1.298,70","520,96","0,65","1,84","71,82","2,85","4.126,16","1.449,23"
T.HUEVOS UNDS.,"10,79","1,71","78,13","0,16","79.487,84","500.797,09","10,91","1,85","82,58","0,17","13.075,15","76.932,27","12,27","1,72","82,90","0,14","2.235,27","15.904,53","8,65","1,35","71,24","0,16","1.460,30","9.345,91","11,18","1,75","80,89","0,16","8.843,41","56.588,12","10,25","1,51","79,01","0,15","2.074,40","14.112,33","10,09","1,55","79,87","0,15","13.608,26","88.424,32","10,77","1,62","82,78","0,15","10.434,31","69.457,26","10,27","1,49","73,42","0,15","3.160,79","21.769,00","7,75","1,12","64,77","0,14","1.302,88","8.990,30","10,98","1,57","71,33","0,14","3.802,75","26.618,48","9,45","1,78","61,23","0,19","4.858,75","25.839,56","10,96","1,94","73,65","0,18","2.100,45","11.836,71","14,57","2,45","81,22","0,17","1.351,44","8.022,00","15,10","2,41","81,15","0,16","5.138,62","32.246,99","11,74","1,93","85,99","0,16","616,19","3.746,51","14,56","2,29","77,64","0,16","1.298,70","8.257,16","10,13","1,84","71,82","0,18","4.126,16","22.705,62"
TOTAL HUEVOS GALLINA,"10,45","1,68","77,84","0,16","78.214,53","485.261,80","10,45","1,82","82,55","0,17","12.822,25","73.726,33","11,41","1,66","82,55","0,15","2.151,62","14.787,54","7,98","1,30","70,72","0,16","1.401,84","8.619,39","10,94","1,73","81,00","0,16","8.740,44","55.395,36","9,69","1,46","77,76","0,15","2.012,58","13.344,69","9,78","1,53","79,00","0,16","13.387,75","85.743,40","10,56","1,60","82,79","0,15","10.320,73","68.092,74","9,71","1,45","72,87","0,15","3.065,21","20.563,93","7,52","1,10","63,57","0,15","1.282,07","8.722,74","10,68","1,54","71,04","0,14","3.744,20","25.884,87","9,31","1,77","61,07","0,19","4.829,36","25.467,94","10,90","1,94","73,70","0,18","2.095,62","11.774,71","14,51","2,45","81,24","0,17","1.348,97","7.990,25","14,39","2,34","80,80","0,16","4.994,49","30.724,25","11,51","1,91","86,43","0,17","610,86","3.672,49","14,32","2,27","77,66","0,16","1.286,42","8.118,24","10,10","1,84","71,57","0,18","4.120,13","22.632,92"
OTRAS AVES,"0,33","0,03","3,64","0,08","1.273,31","15.535,29","0,45","0,04","4,16","0,08","252,90","3.205,94","0,86","0,06","8,19","0,07","83,65","1.116,99","0,67","0,05","3,61","0,08","58,46","726,52","0,24","0,02","2,81","0,09","102,97","1.192,76","0,56","0,04","6,80","0,08","61,83","767,64","0,31","0,03","4,43","0,08","220,51","2.680,92","0,21","0,02","2,83","0,08","113,58","1.364,52","0,57","0,05","3,20","0,08","95,58","1.205,07","0,23","0,02","2,85","0,08","20,81","267,56","0,30","0,02","2,47","0,08","58,55","733,61","0,14","0,01","1,52","0,08","29,39","371,62","0,06","0,00","0,73","0,08","4,82","62,00","0,06","0,00","1,08","0,08","2,47","31,75","0,71","0,07","8,54","0,09","144,13","1.522,74","0,23","0,02","2,68","0,07","5,34","74,03","0,25","0,02","3,17","0,09","12,28","138,93","0,03","0,00","0,59","0,08","6,03","72,70"
MIEL,"0,03","0,21","8,84","7,04","9.940,29","1.412,09","0,03","0,26","10,57","7,92","1.821,02","230,05","0,03","0,19","7,50","7,01","239,81","34,20","0,03","0,27","12,59","7,90","294,31","37,26","0,03","0,21","9,82","6,05","1.062,77","175,55","0,06","0,43","9,88","7,76","592,92","76,40","0,03","0,19","8,17","6,59","1.673,06","253,72","0,03","0,20","8,78","6,37","1.298,89","203,94","0,02","0,13","7,07","6,06","281,86","46,53","0,02","0,11","4,85","5,24","133,05","25,38","0,02","0,17","5,82","6,86","411,38","59,96","0,04","0,30","11,64","8,09","812,93","100,44","0,03","0,21","7,64","7,57","231,09","30,52","0,03","0,21","8,44","7,59","112,97","14,89","0,03","0,25","8,64","8,41","532,17","63,28","0,02","0,14","6,78","6,05","46,24","7,64","0,02","0,23","7,54","9,79","127,58","13,03","0,02","0,12","6,31","6,83","268,25","39,30"
GRANEL,"0,01","0,08","2,24","9,04","3.626,29","401,32","0,01","0,10","2,04","12,42","723,05","58,23","0,01","0,07","1,63","7,53","94,49","12,54","0,01","0,08","2,95","14,00","88,11","6,29","0,01","0,05","1,57","6,81","261,96","38,44","0,03","0,23","1,67","8,66","310,55","35,86","0,01","0,07","2,66","7,89","625,54","79,25","0,00","0,04","1,07","9,32","259,12","27,79","0,01","0,05","2,21","7,53","104,14","13,83","0,00","0,02","1,25","5,50","27,15","4,94","0,01","0,10","2,69","8,59","238,01","27,70","0,02","0,15","4,66","7,92","398,93","50,39","0,01","0,09","3,47","13,78","95,80","6,95","0,00","0,00","0,00",,"0,00","0,00","0,01","0,11","2,59","9,61","233,34","24,28","0,01","0,06","2,31","7,50","18,29","2,44","0,01","0,09","2,02","10,85","52,17","4,81","0,00","0,04","1,40","12,62","95,65","7,58"
ENVASADA,"0,02","0,14","6,86","6,25","6.314,00","1.010,78","0,02","0,16","8,40","6,39","1.097,97","171,82","0,02","0,11","5,28","6,71","145,32","21,66","0,03","0,19","10,11","6,66","206,20","30,97","0,03","0,16","8,40","5,84","800,81","137,11","0,03","0,21","10,02","6,96","282,36","40,54","0,02","0,12","5,69","6,00","1.047,53","174,47","0,03","0,16","7,79","5,90","1.039,78","176,15","0,02","0,08","5,08","5,43","177,72","32,70","0,02","0,09","3,77","5,18","105,90","20,44","0,01","0,07","3,79","5,37","173,36","32,25","0,02","0,15","7,01","8,27","414,00","50,05","0,02","0,13","4,55","5,74","135,29","23,56","0,03","0,21","8,44","7,59","112,97","14,89","0,02","0,14","6,11","7,66","298,83","39,00","0,02","0,09","4,72","5,38","27,95","5,20","0,01","0,13","5,39","9,17","75,42","8,23","0,01","0,08","5,01","5,44","172,60","31,72"
TOTAL CARNE,"3,55","25,54","97,38","7,19","1.185.557,68","164.861,56","3,79","29,25","97,20","7,72","206.296,73","26.738,68","3,98","29,59","96,89","7,43","38.355,51","5.160,14","3,24","22,82","93,79","7,03","24.643,98","3.503,38","3,78","26,09","97,63","6,91","132.101,94","19.116,07","3,43","23,70","97,56","6,91","32.617,50","4.718,82","3,21","20,82","97,60","6,49","182.464,43","28.123,53","3,56","26,63","97,66","7,49","171.690,26","22.923,94","3,72","24,62","97,89","6,61","52.152,96","7.888,50","2,89","19,09","95,55","6,61","22.149,83","3.352,66","4,29","31,14","97,69","7,26","75.484,13","10.397,06","3,42","24,23","96,65","7,09","66.266,46","9.348,67","3,38","25,53","98,45","7,56","27.582,34","3.647,43","2,69","20,70","94,88","7,70","11.398,40","1.480,85","4,07","33,02","98,92","8,11","70.530,15","8.697,67","3,58","28,98","95,45","8,10","9.248,53","1.142,01","4,04","31,64","99,64","7,82","17.936,66","2.293,05","2,82","19,92","96,11","7,05","44.637,93","6.329,12"
