,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,GALICIA,GALICIA,GALICIA,GALICIA,GALICIA,GALICIA,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,CANARIAS,CANARIAS,CANARIAS,CANARIAS,CANARIAS,CANARIAS
,CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros),CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros)
.TOTAL ALIMENTACION,"46,25","138,14","100,00","2,99","6.413.715,29","2.147.128,16","50,18","162,02","100,00","3,23","1.142.417,40","353.814,64","45,59","141,10","100,00","3,09","182.821,58","59.074,61","50,32","148,23","100,00","2,95","160.182,39","54.383,00","46,14","132,30","100,00","2,87","669.843,67","233.591,88","49,92","141,57","100,00","2,84","194.969,90","68.743,92","43,83","120,67","100,00","2,75","1.057.666,01","384.139,52","42,58","138,16","100,00","3,24","891.392,73","274.700,09","46,10","125,22","100,00","2,72","265.373,36","97.698,80","41,61","108,73","100,00","2,61","126.092,05","48.258,41","50,52","149,38","100,00","2,96","361.796,48","122.357,93","44,48","133,00","100,00","2,99","363.400,67","121.544,62","48,52","149,42","100,00","3,08","161.282,33","52.366,31","44,34","128,39","100,00","2,90","70.666,78","24.405,29","50,59","174,23","100,00","3,44","371.943,25","108.001,18","42,96","135,52","100,00","3,15","43.204,76","13.696,14","46,86","156,70","100,00","3,34","88.881,38","26.580,86","46,30","116,80","100,00","2,52","261.780,72","103.771,02"
T.HUEVOS KGS,"0,68","2,13","78,92","3,14","98.861,58","31.452,83","0,64","2,08","78,73","3,27","14.688,62","4.489,87","0,74","2,07","81,74","2,81","2.677,43","953,71","0,54","1,76","78,39","3,23","1.900,27","588,03","0,70","2,20","83,15","3,16","11.127,25","3.524,46","0,72","2,24","81,10","3,12","3.078,62","985,42","0,66","2,01","81,38","3,07","17.660,77","5.749,10","0,65","2,02","79,94","3,09","13.044,94","4.217,88","0,62","1,84","73,80","2,96","3.896,57","1.317,47","0,55","1,64","66,96","3,00","1.898,22","633,22","0,69","2,06","71,19","2,99","4.998,59","1.670,95","0,64","2,23","69,67","3,49","6.104,19","1.751,50","0,76","2,40","77,34","3,18","2.592,11","815,22","0,99","3,12","83,65","3,17","1.719,99","542,72","0,96","3,10","84,62","3,21","6.617,37","2.059,35","0,96","2,91","82,25","3,04","928,77","305,35","0,71","2,11","77,00","2,95","1.196,34","405,28","0,64","2,11","78,97","3,28","4.731,54","1.443,30"
T.HUEVOS UNDS.,"10,77","2,13","78,92","0,20","98.861,58","500.009,90","10,13","2,08","78,73","0,21","14.688,62","71.435,89","11,74","2,07","81,74","0,18","2.677,43","15.207,33","8,95","1,76","78,39","0,20","1.900,27","9.676,72","11,04","2,20","83,15","0,20","11.127,25","55.891,67","11,30","2,24","81,10","0,20","3.078,62","15.563,20","10,53","2,01","81,38","0,19","17.660,77","92.279,14","10,34","2,02","79,94","0,20","13.044,94","66.716,78","9,84","1,84","73,80","0,19","3.896,57","20.862,75","8,63","1,64","66,96","0,19","1.898,22","10.005,38","10,96","2,06","71,19","0,19","4.998,59","26.540,88","10,22","2,23","69,67","0,22","6.104,19","27.922,59","11,91","2,40","77,34","0,20","2.592,11","12.858,87","15,41","3,12","83,65","0,20","1.719,99","8.479,98","15,35","3,10","84,62","0,20","6.617,37","32.770,83","15,12","2,91","82,25","0,19","928,77","4.818,92","11,33","2,11","77,00","0,19","1.196,34","6.427,47","10,06","2,11","78,97","0,21","4.731,54","22.551,57"
TOTAL HUEVOS GALLINA,"10,55","2,11","78,62","0,20","97.931,91","489.865,30","9,92","2,06","78,21","0,21","14.543,57","69.916,84","11,46","2,04","81,53","0,18","2.643,09","14.845,19","8,42","1,72","78,55","0,20","1.854,61","9.097,49","10,85","2,18","82,91","0,20","11.031,12","54.917,42","11,16","2,22","80,76","0,20","3.061,14","15.366,37","10,20","1,99","81,30","0,19","17.405,56","89.376,00","10,19","2,01","79,75","0,20","12.950,29","65.754,02","9,69","1,82","72,94","0,19","3.864,50","20.534,17","8,51","1,63","67,12","0,19","1.888,82","9.873,50","10,75","2,04","71,18","0,19","4.952,71","26.028,49","9,98","2,21","68,54","0,22","6.046,39","27.264,38","11,78","2,39","77,36","0,20","2.574,54","12.715,41","15,41","3,12","83,65","0,20","1.719,99","8.479,98","15,02","3,07","83,82","0,20","6.554,84","32.067,38","14,94","2,89","82,25","0,19","922,88","4.762,32","11,13","2,09","76,34","0,19","1.186,32","6.314,84","10,06","2,11","78,97","0,21","4.731,54","22.551,57"
OTRAS AVES,"0,22","0,02","2,50","0,09","929,67","10.144,60","0,22","0,02","3,03","0,10","145,05","1.519,05","0,28","0,03","2,04","0,09","34,34","362,14","0,54","0,04","4,51","0,08","45,66","579,23","0,19","0,02","1,80","0,10","96,13","974,25","0,14","0,01","1,52","0,09","17,47","196,83","0,33","0,03","3,71","0,09","255,21","2.903,14","0,15","0,01","2,29","0,10","94,65","962,76","0,16","0,02","2,26","0,10","32,07","328,58","0,11","0,01","1,69","0,07","9,40","131,87","0,21","0,02","1,68","0,09","45,88","512,39","0,24","0,02","2,78","0,09","57,80","658,21","0,13","0,02","1,66","0,12","17,57","143,46","0,00","0,00","0,00",,"0,00","0,00","0,33","0,03","3,88","0,09","62,53","703,45","0,18","0,02","3,99","0,10","5,90","56,60","0,20","0,02","2,50","0,09","10,01","112,64","0,00","0,00","0,00",,"0,00","0,00"
MIEL,"0,04","0,26","8,49","7,26","12.295,32","1.693,27","0,03","0,27","9,95","7,63","1.883,19","246,75","0,02","0,16","7,19","7,51","211,45","28,15","0,04","0,28","15,31","7,06","298,38","42,26","0,03","0,18","7,17","6,60","897,20","136,04","0,04","0,28","10,61","6,63","389,74","58,74","0,03","0,25","7,70","7,28","2.148,01","295,04","0,05","0,36","8,94","7,69","2.292,79","298,12","0,05","0,30","7,97","6,20","632,99","102,15","0,01","0,06","2,34","4,58","68,43","14,94","0,07","0,49","9,93","6,99","1.197,68","171,33","0,04","0,28","9,65","7,96","773,63","97,20","0,02","0,14","4,86","8,14","148,23","18,21","0,01","0,06","2,39","9,05","35,11","3,88","0,04","0,32","7,11","7,11","679,10","95,55","0,03","0,17","8,16","6,22","53,01","8,53","0,00","0,00","0,00",,"0,00","0,00","0,03","0,26","11,09","7,68","586,37","76,39"
GRANEL,"0,02","0,15","2,86","8,33","6.895,91","827,61","0,01","0,12","3,51","9,76","873,78","89,56","0,01","0,08","1,95","10,00","97,86","9,79","0,00","0,05","0,87","16,10","58,21","3,62","0,01","0,05","1,90","7,75","274,17","35,37","0,02","0,17","7,39","7,14","240,33","33,68","0,02","0,16","2,53","7,98","1.408,89","176,59","0,03","0,23","3,16","8,67","1.466,88","169,16","0,03","0,21","2,06","6,83","448,62","65,70","0,00","0,00","0,00",,"0,00","0,00","0,05","0,39","4,53","7,41","944,10","127,40","0,02","0,18","4,21","8,97","486,63","54,27","0,01","0,09","2,34","9,50","94,97","9,99","0,00","0,00","0,00",,"0,00","0,00","0,02","0,14","1,53","8,04","291,63","36,28","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,01","0,09","2,04","12,95","209,85","16,20"
ENVASADA,"0,02","0,12","5,88","6,24","5.399,41","865,65","0,02","0,14","7,04","6,42","1.009,41","157,19","0,01","0,09","4,82","6,19","113,59","18,36","0,04","0,22","14,46","6,21","240,17","38,65","0,02","0,12","5,50","6,19","623,03","100,66","0,02","0,11","4,67","5,96","149,41","25,06","0,01","0,08","4,73","6,24","739,13","118,45","0,02","0,13","6,20","6,40","825,91","128,96","0,02","0,09","5,96","5,06","184,37","36,45","0,01","0,06","2,34","4,58","68,43","14,94","0,02","0,10","5,68","5,77","253,59","43,94","0,02","0,11","5,51","6,68","287,00","42,94","0,01","0,05","2,65","6,48","53,26","8,22","0,01","0,06","2,39","9,05","35,11","3,88","0,03","0,18","5,78","6,54","387,47","59,26","0,03","0,17","8,16","6,22","53,01","8,53","0,00","0,00","0,00",,"0,00","0,00","0,03","0,17","9,30","6,26","376,52","60,18"
TOTAL CARNE,"3,32","27,01","97,31","8,13","1.253.965,24","154.206,05","3,56","31,87","96,89","8,95","224.703,41","25.111,78","3,74","30,67","97,23","8,20","39.743,37","4.847,67","3,57","29,09","95,45","8,15","31.435,92","3.857,01","3,20","25,16","97,86","7,85","127.408,32","16.226,90","3,50","26,84","97,68","7,67","36.959,23","4.817,74","2,96","22,26","97,65","7,53","195.147,18","25.905,54","3,38","28,30","98,00","8,37","182.603,86","21.817,90","3,66","26,96","97,48","7,37","57.138,94","7.750,49","2,83","19,92","98,49","7,05","23.102,68","3.279,17","4,20","32,99","97,52","7,86","79.907,17","10.165,37","3,07","23,58","96,67","7,67","64.418,36","8.397,76","3,30","28,61","95,53","8,68","30.876,40","3.557,40","2,64","20,99","98,51","7,96","11.550,50","1.451,14","3,78","35,07","97,57","9,28","74.867,82","8.066,90","3,66","32,06","99,89","8,77","10.219,19","1.165,49","3,77","33,05","97,33","8,77","18.745,49","2.137,20","2,52","20,14","93,74","7,99","45.137,40","5.650,61"
